lon;lat;var1
153.5;41.5;-1.0376386958409582
153.5;42.5;-0.8695680313843515
153.5;43.5;-0.6722002226608077
153.5;44.5;-0.4553114034562925
153.5;45.5;-0.3405266303224488
153.5;46.5;-0.288531609129716
153.5;47.5;-0.221262280595705
153.5;48.5;-0.13216771249470352
153.5;49.5;-0.024498140333884606
153.5;50.5;0.0798954593755843
153.5;51.5;0.1501842898236635
153.5;52.5;0.16971149299267835
153.5;53.5;0.12225346169071331
153.5;54.5;0.0457092396011101
153.5;55.5;-0.07932911396405193
153.5;56.5;-0.16602005965675762
153.5;57.5;-0.217820252121387
153.5;58.5;-0.2842826331738957
154.5;20.5;-0.25196291181411373
154.5;21.5;-0.257766088342114
154.5;22.5;-0.28164833350687535
154.5;23.5;-0.33140257511618904
154.5;24.5;-0.44145984552156525
154.5;25.5;-0.583652356824031
154.5;26.5;-0.7217319125787388
154.5;27.5;-0.8201346962489937
154.5;28.5;-0.914458904306074
154.5;29.5;-1.02022240797084
154.5;30.5;-1.0786468325791878
154.5;31.5;-1.0792621618325262
154.5;32.5;-1.073721721166621
154.5;33.5;-1.0610560102510427
154.5;34.5;-1.0167965332621454
154.5;35.5;-1.0848017758375272
154.5;36.5;-1.1802244365408623
154.5;37.5;-1.286867532398251
154.5;38.5;-1.3236095065433882
154.5;39.5;-1.245229334950235
154.5;40.5;-1.1332175757220626
154.5;41.5;-1.0297299065520145
154.5;42.5;-0.8669907521846718
154.5;43.5;-0.6512235978937816
154.5;44.5;-0.45910894834365035
154.5;45.5;-0.3501326418433807
154.5;46.5;-0.2773435015943342
154.5;47.5;-0.16969135853794648
154.5;48.5;-0.07239820293288739
154.5;49.5;0.059081360540842946
154.5;50.5;0.18333110618586004
154.5;51.5;0.2473223235790176
154.5;52.5;0.23662816449789548
154.5;53.5;0.19501954251365888
154.5;54.5;0.12953043627773175
154.5;55.5;-0.006207786587098497
154.5;56.5;-0.10925529815265776
154.5;57.5;-0.1877482401694527
154.5;58.5;-0.2635145410690575
154.5;59.5;-0.3296070716928118
155.5;20.5;-0.24076139420931988
155.5;21.5;-0.23294501211960356
155.5;22.5;-0.2519690643824982
155.5;23.5;-0.3205459038702807
155.5;24.5;-0.4334910542764833
155.5;25.5;-0.5746949930961254
155.5;26.5;-0.7185248271842073
155.5;27.5;-0.8243547649494615
155.5;28.5;-0.9260449043446758
155.5;29.5;-1.027150738712021
155.5;30.5;-1.0762408046824092
155.5;31.5;-1.100548345853525
155.5;32.5;-1.093988795767093
155.5;33.5;-1.0875490546932678
155.5;34.5;-1.0603341474830923
155.5;35.5;-1.0918988309872872
155.5;36.5;-1.1936120847998264
155.5;37.5;-1.2978301830256351
155.5;38.5;-1.3162347616679546
155.5;39.5;-1.2427321917632104
155.5;40.5;-1.1384503253297422
155.5;41.5;-1.0121327465750374
155.5;42.5;-0.859495111246665
155.5;43.5;-0.6700043269837764
155.5;44.5;-0.47780127256303373
155.5;45.5;-0.3591286160943537
155.5;46.5;-0.2553199681707582
155.5;47.5;-0.1151154151879858
155.5;48.5;0.007740926185414074
155.5;49.5;0.135046749101501
155.5;50.5;0.28184821729908394
155.5;51.5;0.32976437671002645
155.5;52.5;0.3436757133004494
155.5;53.5;0.2846311714758664
155.5;54.5;0.19621139405583718
155.5;55.5;0.05522279710666339
155.5;56.5;-0.07111278935617937
155.5;57.5;-0.15797808526531631
155.5;58.5;-0.22971326842850165
155.5;59.5;-0.2803889824894856
156.5;20.5;-0.22783058626520183
156.5;21.5;-0.21247400374725917
156.5;22.5;-0.2303067645190631
156.5;23.5;-0.3078042519050903
156.5;24.5;-0.4175139851270796
156.5;25.5;-0.5754066759482921
156.5;26.5;-0.7132893682009112
156.5;27.5;-0.8217371342396887
156.5;28.5;-0.9089200769818349
156.5;29.5;-1.0171149752105686
156.5;30.5;-1.0913745889848467
156.5;31.5;-1.1174140241648067
156.5;32.5;-1.1285069501959621
156.5;33.5;-1.1092859017755778
156.5;34.5;-1.0704480075048528
156.5;35.5;-1.0780573077735403
156.5;36.5;-1.1867599844629952
156.5;37.5;-1.280643076001537
156.5;38.5;-1.3005581345421766
156.5;39.5;-1.238987944412001
156.5;40.5;-1.117661620243064
156.5;41.5;-1.0035345788908745
156.5;42.5;-0.8651498038100802
156.5;43.5;-0.6990540217039186
156.5;44.5;-0.5192229050981505
156.5;45.5;-0.3863642762823315
156.5;46.5;-0.25973625685913454
156.5;47.5;-0.09921113966874483
156.5;48.5;0.06827452367901188
156.5;49.5;0.23429089004513212
156.5;50.5;0.36415671337853567
156.5;51.5;0.4284299952727928
156.5;57.5;-0.1553797147762925
